ACK,TNK2
ALK2,ACVR1
ANPa,NPR1
AurC,AURKC
CaMK1a,CAMK1
PKG1,PRKG1
PKG2,PRKG2
CK1a,CSNK1A1
CK1d,CSNK1D
CK1e,CSNK1E
CK1g3,CSNK1G3
DLK,MAP3K12
DMPK1,DMPK
DNAPK,PRKDC
KHS1,MAP4K5
smMLCK,MYLK
p38a,MAPK14
p70S6K,RPS6KB1
PKCh,PRKCH
MRCKa,CDC42BPA
PKCd,PRKCD
PKCi,PRKCG
PKCt,PRKCQ
PKCz,PRKCZ
p38b,MAPK11
p38g,MAPK12
p38d,MAPK13
AurB,AURKB
TAO3,TAOK3
TAO1,TAOK1
PKD3,PRKD3
HH498,HH498
ACTR2,ACTR2
ACTR2B,ACTR2B
AMPKa1,PRKAA1
AMPKa2,PRKAA2
BRD2,BRD2
BRD3,BRD3
BRD4,BRD4
BRDT,BRDT
CaMK1b,PNCK
caMLCK,MYLK3
CK1a2,CSNK1A1L
CK1g1,CSNK1G1
Fused,STK36
KHS2,MAP4K3
MRCKb,CDC42BPB
p70S6Kb,RPS6KB2
PFTAIRE1,CDK14
PFTAIRE2,CDK15
PITSLRE,CDK11AÂ 
PKACb,PRKACB
PKACg,PRKACG
SBK,SBK1
skMLCK,MYLK2
SRM,SRMS
STLK3,STK39
STLK5,SUFU
TAF1,TAF1
TAF1L,TAF1L
TAO2,TAOK2
TIF1a,RRN3
TIF1g,TRIM33
